nn,size,iterations
0,10,45
1,20,190
2,30,435
3,40,780
4,50,1225
5,60,1770
6,70,2415
7,80,3160
8,90,4005
9,100,4950
10,110,5995
11,120,7140
12,130,8385
13,140,9730
14,150,11175
15,160,12720
16,170,14365
17,180,16110
18,190,17955
19,200,19900
20,210,21945
21,220,24090
22,230,26335
23,240,28680
24,250,31125
25,260,33670
26,270,36315
27,280,39060
28,290,41905
29,300,44850
30,310,47895
31,320,51040
32,330,54285
33,340,57630
34,350,61075
35,360,64620
36,370,68265
37,380,72010
38,390,75855
39,400,79800
40,410,83845
41,420,87990
42,430,92235
43,440,96580
44,450,101025
45,460,105570
46,470,110215
47,480,114960
48,490,119805
49,500,124750
50,510,129795
51,520,134940
52,530,140185
53,540,145530
54,550,150975
55,560,156520
56,570,162165
57,580,167910
58,590,173755
59,600,179700
60,610,185745
61,620,191890
62,630,198135
63,640,204480
64,650,210925
65,660,217470
66,670,224115
67,680,230860
68,690,237705
69,700,244650
70,710,251695
71,720,258840
72,730,266085
73,740,273430
74,750,280875
75,760,288420
76,770,296065
77,780,303810
78,790,311655
79,800,319600
80,810,327645
81,820,335790
82,830,344035
83,840,352380
84,850,360825
85,860,369370
86,870,378015
87,880,386760
88,890,395605
89,900,404550
90,910,413595
91,920,422740
92,930,431985
93,940,441330
94,950,450775
95,960,460320
96,970,469965
97,980,479710
98,990,489555
99,1000,499500
